PlayerRowId,SteamId,VACBanned,NumberOfVACBans,NumberOfGameBans,DaysSinceLastBan,EconomyBan,TotalGamesOwned,TotalPlaytimeMinutes,TotalPlaytimeHours
100,7.65612E+16,True,1,0,7130,False,0,0.0,0.0
101,7.65612E+16,True,1,0,7133,False,0,0.0,0.0
102,7.65612E+16,True,1,0,6852,False,0,0.0,0.0
103,7.65612E+16,True,1,0,4378,False,0,0.0,0.0
104,7.65612E+16,True,1,0,7207,False,0,0.0,0.0
105,7.65612E+16,True,1,0,6349,False,0,0.0,0.0
106,7.65612E+16,True,1,0,7129,False,0,0.0,0.0
107,7.65612E+16,True,1,0,7041,False,0,0.0,0.0
108,7.65612E+16,True,1,0,4187,False,0,0.0,0.0
109,7.65612E+16,True,1,0,7180,False,0,0.0,0.0
110,7.65612E+16,True,1,0,7184,False,0,0.0,0.0
111,7.65612E+16,True,1,0,7004,False,0,0.0,0.0
112,7.65612E+16,True,1,0,6592,False,0,0.0,0.0
113,7.65612E+16,True,1,0,7180,False,0,0.0,0.0
114,7.65612E+16,True,1,0,6660,False,13,959.0,16.0
115,7.65612E+16,True,1,0,7194,False,0,0.0,0.0
116,7.65612E+16,False,0,1,2413,False,0,0.0,0.0
117,7.65612E+16,True,1,0,7074,False,0,0.0,0.0
118,7.65612E+16,True,1,0,6558,False,0,0.0,0.0
119,7.65612E+16,True,1,0,7187,False,0,0.0,0.0
120,7.65612E+16,True,1,0,6616,False,0,0.0,0.0
121,7.65612E+16,False,0,1,2259,False,0,0.0,0.0
122,7.65612E+16,True,1,0,6684,False,0,0.0,0.0
123,7.65612E+16,True,1,0,6511,False,0,0.0,0.0
124,7.65612E+16,True,1,0,6527,False,0,0.0,0.0
125,7.65612E+16,True,1,0,6106,False,0,0.0,0.0
126,7.65612E+16,True,1,0,7129,False,10,14419.0,240.3
127,7.65612E+16,True,1,0,4174,False,0,0.0,0.0
128,7.65612E+16,True,1,0,6847,False,0,0.0,0.0
129,7.65612E+16,True,2,0,1309,False,0,0.0,0.0
130,7.65612E+16,True,1,0,6749,False,0,0.0,0.0
131,7.65612E+16,True,1,0,7023,False,0,0.0,0.0
132,7.65612E+16,True,1,0,6932,False,0,0.0,0.0
133,7.65612E+16,True,1,0,7109,False,0,0.0,0.0
134,7.65612E+16,True,1,0,2062,False,8,7525.0,125.4
135,7.65612E+16,True,1,0,6775,False,0,0.0,0.0
136,7.65612E+16,True,1,0,6612,False,0,0.0,0.0
137,7.65612E+16,True,1,0,7080,False,0,0.0,0.0
138,7.65612E+16,True,1,0,6669,False,0,0.0,0.0
139,7.65612E+16,True,1,0,6812,False,0,0.0,0.0
140,7.65612E+16,True,1,0,5799,False,12,22394.0,373.2
141,7.65612E+16,True,1,0,6667,False,0,0.0,0.0
142,7.65612E+16,True,1,0,6397,False,0,0.0,0.0
143,7.65612E+16,True,1,0,6818,False,0,0.0,0.0
144,7.65612E+16,True,1,0,7015,False,0,0.0,0.0
145,7.65612E+16,True,1,0,4162,False,24,277565.0,4626.1
146,7.65612E+16,True,2,0,6238,False,0,0.0,0.0
147,7.65612E+16,True,1,1,2133,False,0,0.0,0.0
148,7.65612E+16,True,1,0,3411,False,0,0.0,0.0
149,7.65612E+16,True,1,0,4303,False,0,0.0,0.0
150,7.65612E+16,True,1,0,6966,False,0,0.0,0.0
151,7.65612E+16,True,1,0,6895,False,0,0.0,0.0
152,7.65612E+16,True,1,0,6976,False,0,0.0,0.0
153,7.65612E+16,True,1,0,6847,False,0,0.0,0.0
154,7.65612E+16,True,1,0,6438,False,0,0.0,0.0
155,7.65612E+16,True,1,0,6957,False,0,0.0,0.0
156,7.65612E+16,True,1,0,6766,False,0,0.0,0.0
157,7.65612E+16,True,1,0,6828,False,0,0.0,0.0
158,7.65612E+16,True,1,0,1527,False,18,11873.0,197.9
159,7.65612E+16,True,1,0,6502,False,0,0.0,0.0
160,7.65612E+16,True,1,0,6523,False,0,0.0,0.0
161,7.65612E+16,True,1,0,4717,False,0,0.0,0.0
162,7.65612E+16,True,1,0,6104,False,142,14286.0,238.1
163,7.65612E+16,True,1,0,6447,False,0,0.0,0.0
164,7.65612E+16,True,1,0,6747,False,0,0.0,0.0
165,7.65612E+16,True,1,0,5454,False,0,0.0,0.0
166,7.65612E+16,True,1,0,6573,False,0,0.0,0.0
167,7.65612E+16,True,1,0,6507,False,0,0.0,0.0
168,7.65612E+16,True,1,0,6864,False,0,0.0,0.0
169,7.65612E+16,True,1,0,6805,False,0,0.0,0.0
170,7.65612E+16,True,1,0,6846,False,0,0.0,0.0
171,7.65612E+16,True,1,0,6839,False,0,0.0,0.0
172,7.65612E+16,True,1,0,6486,False,0,0.0,0.0
173,7.65612E+16,True,1,0,4259,False,0,0.0,0.0
174,7.65612E+16,True,1,0,6511,False,0,0.0,0.0
175,7.65612E+16,True,1,0,6667,False,0,0.0,0.0
176,7.65612E+16,True,1,0,6254,False,8,29078.0,484.6
177,7.65612E+16,True,1,0,5467,False,0,0.0,0.0
178,7.65612E+16,True,1,0,4011,False,0,0.0,0.0
179,7.65612E+16,True,1,0,6409,False,0,0.0,0.0
180,7.65612E+16,True,1,0,4819,False,0,0.0,0.0
181,7.65612E+16,False,0,1,2257,False,109,54030.0,900.5
182,7.65612E+16,True,1,0,6177,False,0,0.0,0.0
183,7.65612E+16,True,1,0,3172,False,0,0.0,0.0
184,7.65612E+16,True,1,0,1717,False,0,0.0,0.0
185,7.65612E+16,True,2,0,6476,False,0,0.0,0.0
186,7.65612E+16,True,1,0,6672,False,0,0.0,0.0
187,7.65612E+16,True,1,0,6474,False,0,0.0,0.0
188,7.65612E+16,True,1,0,4784,False,0,0.0,0.0
189,7.65612E+16,True,1,0,6586,False,0,0.0,0.0
190,7.65612E+16,True,1,0,5962,False,0,0.0,0.0
191,7.65612E+16,True,1,0,6350,False,0,0.0,0.0
192,7.65612E+16,False,0,1,813,False,50,370403.0,6173.4
193,7.65612E+16,True,1,0,6406,False,0,0.0,0.0
194,7.65612E+16,False,0,1,2752,False,2,400.0,6.7
195,7.65612E+16,True,1,0,6394,False,250,244993.0,4083.2
196,7.65612E+16,True,1,0,2562,False,0,0.0,0.0
197,7.65612E+16,True,1,0,6426,False,0,0.0,0.0
198,7.65612E+16,True,1,0,6471,False,0,0.0,0.0
199,7.65612E+16,True,1,0,6616,False,0,0.0,0.0
200,7.65612E+16,True,1,0,6406,False,0,0.0,0.0
201,7.65612E+16,True,1,0,6485,False,0,0.0,0.0
202,7.65612E+16,True,1,0,6615,False,0,0.0,0.0
203,7.65612E+16,True,1,0,6017,False,0,0.0,0.0
204,7.65612E+16,True,1,0,6145,False,0,0.0,0.0
205,7.65612E+16,True,1,0,5734,False,0,0.0,0.0
206,7.65612E+16,True,1,0,6545,False,0,0.0,0.0
207,7.65612E+16,True,1,0,6081,False,0,0.0,0.0
208,7.65612E+16,True,1,0,6398,False,0,0.0,0.0
209,7.65612E+16,True,1,0,3068,False,0,0.0,0.0
210,7.65612E+16,True,1,0,6526,False,0,0.0,0.0
211,7.65612E+16,True,1,0,6319,False,0,0.0,0.0
212,7.65612E+16,True,1,0,6286,False,0,0.0,0.0
213,7.65612E+16,True,1,0,3709,False,0,0.0,0.0
214,7.65612E+16,True,2,0,6479,False,0,0.0,0.0
215,7.65612E+16,True,1,0,6472,False,0,0.0,0.0
216,7.65612E+16,True,1,0,6527,False,0,0.0,0.0
217,7.65612E+16,True,2,0,3829,False,0,0.0,0.0
218,7.65612E+16,False,0,1,2868,False,0,0.0,0.0
219,7.65612E+16,True,1,0,2727,False,15,162482.0,2708.0
220,7.65612E+16,True,1,0,6423,False,0,0.0,0.0
221,7.65612E+16,True,1,0,6326,False,0,0.0,0.0
222,7.65612E+16,True,1,0,6078,False,0,0.0,0.0
223,7.65612E+16,True,1,0,2962,False,0,0.0,0.0
224,7.65612E+16,True,1,0,6512,False,0,0.0,0.0
225,7.65612E+16,True,1,0,6158,False,0,0.0,0.0
226,7.65612E+16,True,1,0,6518,False,0,0.0,0.0
227,7.65612E+16,True,1,0,5763,False,0,0.0,0.0
228,7.65612E+16,True,1,0,6507,False,0,0.0,0.0
229,7.65612E+16,True,1,0,4716,False,0,0.0,0.0
230,7.65612E+16,True,1,0,6444,False,0,0.0,0.0
231,7.65612E+16,False,0,1,3487,False,0,0.0,0.0
232,7.65612E+16,True,1,0,6488,False,0,0.0,0.0
233,7.65612E+16,True,1,0,6483,False,0,0.0,0.0
234,7.65612E+16,True,1,0,5876,False,0,0.0,0.0
235,7.65612E+16,True,1,0,2897,False,0,0.0,0.0
236,7.65612E+16,True,1,0,6243,False,0,0.0,0.0
237,7.65612E+16,True,1,0,1178,False,0,0.0,0.0
238,7.65612E+16,True,1,0,6411,False,0,0.0,0.0
239,7.65612E+16,True,1,0,4819,False,0,0.0,0.0
240,7.65612E+16,True,1,0,6003,False,0,0.0,0.0
241,7.65612E+16,True,1,0,6409,False,0,0.0,0.0
242,7.65612E+16,True,1,1,2411,False,36,225588.0,3759.8
243,7.65612E+16,True,1,0,6149,False,0,0.0,0.0
244,7.65612E+16,True,1,0,1865,False,0,0.0,0.0
245,7.65612E+16,True,1,0,5600,False,0,0.0,0.0
246,7.65612E+16,True,1,0,3649,False,591,78857.0,1314.3
247,7.65612E+16,False,0,1,3578,False,0,0.0,0.0
248,7.65612E+16,True,1,0,1724,False,0,0.0,0.0
249,7.65612E+16,True,1,0,5803,False,0,0.0,0.0
250,7.65612E+16,True,2,0,4335,False,0,0.0,0.0
251,7.65612E+16,True,1,0,6248,False,0,0.0,0.0
252,7.65612E+16,False,0,1,1448,False,2,1571.0,26.2
253,7.65612E+16,True,1,0,6234,False,0,0.0,0.0
254,7.65612E+16,True,1,0,3344,False,0,0.0,0.0
255,7.65612E+16,True,2,0,4664,False,0,0.0,0.0
256,7.65612E+16,False,0,1,1169,False,1,29377.0,489.6
257,7.65612E+16,True,1,0,5888,False,7,40110.0,668.5
258,7.65612E+16,True,1,0,6047,False,0,0.0,0.0
259,7.65612E+16,True,1,0,4139,False,224,97679.0,1628.0
260,7.65612E+16,False,0,1,2764,False,2,3516.0,58.6
261,7.65612E+16,True,1,0,3930,False,0,0.0,0.0
262,7.65612E+16,True,1,0,5040,False,576,403808.0,6730.1
